name,gender,status,affiliation,faction,role,weapon,emotion,mission_count,location,rank,loyalty
Samuel Hayes 48,Female,Deceased,Ruska Roma,Assassin,Manager,Rifle,Neutral,173,Prague,Agent,Absolute
James Stone 49,Male,Deceased,Underworld,Contractor,Operative,Pistol,Calm,164,Prague,Agent,Absolute
Ethan Morgan 50,Female,Deceased,High Table,Handler,Manager,Rifle,Focused,194,Prague,Senior Agent,Absolute
William Reed 51,Female,Active,Underworld,Assassin,Bodyguard,Knife,Neutral,17,New York,Novice,Medium
Noah Carter 52,Male,Inactive,Continental,Crime Syndicate,Operative,Pistol,Determined,242,Berlin,Elite,High
Leo Collins 53,Male,Inactive,High Table,Assassin,Enforcer,Pistol,Focused,147,Prague,Elite,Medium
Daniel Hunter 54,Male,Active,High Table,Contractor,Hitman,Shotgun,Calm,88,London,Elite,High
Daniel Russell 55,Female,Active,Ruska Roma,Crime Syndicate,Hitman,Sword,Focused,162,Casablanca,Agent,Absolute
Ethan Russell 56,Female,Deceased,Ruska Roma,Crime Syndicate,Operative,Shotgun,Focused,82,Berlin,Novice,High
Benjamin Hayes 57,Female,Deceased,High Table,Assassin,Manager,Rifle,Angry,124,Berlin,Senior Agent,High
Jack Foster 58,Female,Active,Underworld,Handler,Hitman,Knife,Neutral,104,Casablanca,Master,Medium
Samuel Bailey 59,Female,Active,Independent,Security,Tracker,Sword,Neutral,62,Tokyo,Master,High
Samuel Griffin 60,Female,Deceased,Underworld,Security,Bodyguard,Unarmed,Fearful,69,Tokyo,Senior Agent,Medium
Michael Parker 61,Female,Active,Underworld,Handler,Tracker,Knife,Neutral,123,Tokyo,Master,High
Michael Parker 62,Female,Inactive,High Table,Handler,Bodyguard,Pistol,Neutral,136,Paris,Senior Agent,Low
Ryan Griffin 63,Female,Inactive,Ruska Roma,Assassin,Hitman,Shotgun,Focused,120,Casablanca,Elite,High
Ethan Morgan 64,Female,Deceased,Independent,Assassin,Manager,Sword,Calm,147,New York,Agent,Medium
Matthew Brooks 65,Male,Inactive,Independent,Contractor,Manager,Shotgun,Determined,202,Marrakesh,Agent,Absolute
Benjamin Ward 66,Female,Deceased,High Table,Contractor,Enforcer,Pistol,Determined,245,Rome,Agent,Medium
William Reed 67,Male,Inactive,Continental,Contractor,Hitman,Knife,Calm,104,Casablanca,Master,Absolute
Henry Morgan 68,Male,Missing,High Table,Crime Syndicate,Hitman,Unarmed,Angry,236,Tokyo,Master,Medium
Thomas Walker 69,Male,Inactive,High Table,Handler,Hitman,Pistol,Angry,202,Tokyo,Master,High
Benjamin Walker 70,Female,Missing,Ruska Roma,Security,Enforcer,Shotgun,Fearful,112,Rome,Master,Low
Thomas Turner 71,Female,Active,Independent,Handler,Operative,Shotgun,Determined,243,New York,Senior Agent,Low
Ethan Bailey 72,Female,Missing,Continental,Contractor,Manager,Unarmed,Fearful,248,Rome,Elite,High
Thomas Turner 73,Female,Active,Continental,Security,Manager,Unarmed,Fearful,73,Prague,Master,Low
Benjamin Reed 74,Female,Missing,High Table,Assassin,Manager,Shotgun,Calm,168,London,Elite,Absolute
Ryan Parker 75,Female,Deceased,Ruska Roma,Assassin,Tracker,Rifle,Determined,33,Tokyo,Elite,Absolute
Michael Carter 76,Male,Inactive,High Table,Contractor,Hitman,Shotgun,Fearful,23,Berlin,Novice,Absolute
Michael Bennett 77,Female,Missing,Underworld,Security,Manager,Sword,Fearful,62,Casablanca,Master,Medium
Oliver Parker 78,Male,Active,High Table,Crime Syndicate,Bodyguard,Shotgun,Focused,210,New York,Senior Agent,High
Matthew Hunter 79,Female,Inactive,Ruska Roma,Contractor,Manager,Rifle,Focused,141,London,Elite,Absolute
Jack Parker 80,Male,Deceased,Continental,Crime Syndicate,Hitman,Rifle,Neutral,121,Prague,Elite,Medium
Samuel Morgan 81,Male,Missing,Independent,Crime Syndicate,Hitman,Shotgun,Fearful,3,Paris,Elite,Medium
Daniel Bailey 82,Female,Missing,Underworld,Crime Syndicate,Operative,Pistol,Focused,218,London,Elite,High
Samuel Griffin 83,Male,Active,Continental,Security,Tracker,Unarmed,Calm,111,Rome,Novice,Absolute
Ethan Brooks 84,Male,Active,High Table,Assassin,Bodyguard,Rifle,Focused,110,Paris,Agent,Absolute
Matthew Collins 85,Male,Inactive,Independent,Contractor,Manager,Shotgun,Neutral,61,Casablanca,Master,Medium
Lucas Ward 86,Female,Deceased,High Table,Assassin,Manager,Rifle,Neutral,139,Paris,Novice,Absolute
Leo Hunter 87,Female,Deceased,High Table,Crime Syndicate,Bodyguard,Knife,Fearful,218,Casablanca,Novice,Medium
Oliver Hunter 88,Female,Missing,High Table,Assassin,Operative,Sword,Focused,2,Marrakesh,Novice,Absolute
Henry Hayes 89,Female,Inactive,Continental,Contractor,Bodyguard,Unarmed,Neutral,196,Paris,Novice,Low
Henry Ward 90,Male,Missing,Continental,Assassin,Bodyguard,Rifle,Neutral,106,Paris,Agent,Medium
Joseph Mitchell 91,Female,Inactive,High Table,Crime Syndicate,Bodyguard,Unarmed,Focused,205,Rome,Elite,Low
James Hayes 92,Female,Missing,Independent,Crime Syndicate,Hitman,Rifle,Determined,31,Casablanca,Senior Agent,High
Matthew Cooper 93,Female,Active,Continental,Crime Syndicate,Hitman,Shotgun,Determined,83,Marrakesh,Agent,Low
Benjamin Brooks 94,Female,Active,Continental,Assassin,Hitman,Rifle,Fearful,29,Rome,Agent,Medium
Oliver Ward 95,Female,Deceased,Underworld,Handler,Manager,Unarmed,Calm,213,Casablanca,Master,Absolute
William Morgan 96,Female,Inactive,Ruska Roma,Crime Syndicate,Tracker,Rifle,Calm,175,Osaka,Master,High
Ryan Cooper 97,Female,Inactive,Independent,Crime Syndicate,Hitman,Unarmed,Angry,164,Marrakesh,Novice,Low
Jack Hayes 98,Male,Inactive,Independent,Contractor,Tracker,Shotgun,Angry,208,Berlin,Senior Agent,Medium
Andrew Carter 99,Female,Inactive,Continental,Contractor,Bodyguard,Knife,Calm,169,New York,Agent,Low
Leo Hayes 100,Female,Active,Continental,Security,Hitman,Knife,Neutral,107,London,Novice,Low
Samuel Ward 101,Female,Active,Ruska Roma,Contractor,Tracker,Shotgun,Calm,186,London,Senior Agent,Absolute
Alex Morgan 102,Female,Deceased,Ruska Roma,Assassin,Manager,Unarmed,Fearful,18,Rome,Senior Agent,Medium
Daniel Bennett 103,Female,Missing,Ruska Roma,Contractor,Enforcer,Rifle,Fearful,129,Marrakesh,Elite,Low
Michael Griffin 104,Male,Deceased,Ruska Roma,Handler,Manager,Rifle,Fearful,102,Prague,Novice,High
Thomas Turner 105,Female,Missing,Continental,Crime Syndicate,Hitman,Pistol,Calm,23,Prague,Novice,High
James Griffin 106,Male,Missing,Independent,Crime Syndicate,Bodyguard,Unarmed,Fearful,222,New York,Senior Agent,High
Leo Walker 107,Male,Inactive,Ruska Roma,Handler,Hitman,Rifle,Determined,94,Rome,Senior Agent,Medium
Thomas Griffin 108,Male,Missing,Independent,Handler,Bodyguard,Unarmed,Focused,235,Osaka,Senior Agent,Low
Ethan Bennett 109,Female,Active,Continental,Assassin,Hitman,Unarmed,Determined,55,Prague,Elite,Absolute
Jack Collins 110,Female,Missing,High Table,Contractor,Enforcer,Pistol,Calm,39,Paris,Master,Low
Daniel Foster 111,Female,Deceased,Ruska Roma,Contractor,Manager,Sword,Focused,55,London,Novice,High
Thomas Walker 112,Female,Deceased,Underworld,Security,Hitman,Knife,Fearful,153,New York,Novice,Medium
Henry Parker 113,Male,Missing,High Table,Security,Hitman,Pistol,Fearful,191,Prague,Agent,Medium
Oliver Griffin 114,Male,Missing,Independent,Crime Syndicate,Operative,Pistol,Fearful,4,Casablanca,Novice,High
Matthew Murphy 115,Female,Deceased,High Table,Assassin,Manager,Pistol,Focused,43,Marrakesh,Elite,High
Daniel Murphy 116,Male,Inactive,Ruska Roma,Contractor,Manager,Shotgun,Calm,101,Tokyo,Senior Agent,Medium
Jack Collins 117,Male,Active,Underworld,Contractor,Tracker,Rifle,Focused,186,Paris,Agent,Low
James Foster 118,Male,Inactive,Underworld,Handler,Operative,Pistol,Angry,243,Casablanca,Elite,Absolute
Matthew Stone 119,Female,Missing,Continental,Crime Syndicate,Hitman,Sword,Fearful,161,Tokyo,Senior Agent,Low
Leo Russell 120,Male,Missing,Ruska Roma,Crime Syndicate,Hitman,Pistol,Focused,212,Tokyo,Novice,Low
Andrew Stone 121,Female,Deceased,Underworld,Contractor,Operative,Pistol,Fearful,232,Marrakesh,Agent,High
Andrew Bailey 122,Male,Active,Ruska Roma,Assassin,Bodyguard,Unarmed,Calm,129,Paris,Novice,Medium
Benjamin Ward 123,Male,Missing,High Table,Security,Manager,Sword,Focused,173,Marrakesh,Novice,High
Daniel Turner 124,Male,Deceased,High Table,Security,Operative,Unarmed,Determined,223,Paris,Senior Agent,Low
Matthew Bennett 125,Female,Missing,Ruska Roma,Handler,Enforcer,Unarmed,Calm,79,London,Elite,High
James Russell 126,Male,Deceased,Underworld,Security,Hitman,Rifle,Focused,46,Berlin,Senior Agent,Absolute
Noah Hayes 127,Male,Inactive,Independent,Security,Hitman,Shotgun,Determined,213,London,Novice,High
Andrew Bennett 128,Female,Inactive,Continental,Handler,Operative,Shotgun,Angry,184,Casablanca,Novice,Absolute
Leo Hayes 129,Female,Missing,Ruska Roma,Handler,Enforcer,Knife,Focused,247,Casablanca,Agent,High
Matthew Ward 130,Female,Missing,Ruska Roma,Contractor,Enforcer,Sword,Angry,209,Berlin,Master,Medium
William Morgan 131,Female,Missing,Underworld,Assassin,Operative,Shotgun,Calm,72,Rome,Agent,High
Benjamin Russell 132,Male,Deceased,Independent,Handler,Manager,Rifle,Calm,106,New York,Elite,High
Lucas Cooper 133,Male,Missing,Continental,Assassin,Bodyguard,Pistol,Neutral,166,Osaka,Agent,Medium
Ryan Brooks 134,Female,Inactive,Ruska Roma,Crime Syndicate,Enforcer,Pistol,Calm,4,Tokyo,Agent,Medium
Joseph Stone 135,Female,Active,High Table,Handler,Bodyguard,Pistol,Calm,61,Prague,Master,Absolute
Daniel Walker 136,Female,Active,Underworld,Contractor,Tracker,Unarmed,Angry,74,Prague,Novice,High
Lucas Hunter 137,Female,Inactive,Independent,Contractor,Bodyguard,Pistol,Determined,139,London,Master,Low
Oliver Bailey 138,Male,Deceased,High Table,Security,Operative,Pistol,Focused,201,Rome,Senior Agent,Medium
Michael Hunter 139,Female,Inactive,Independent,Security,Enforcer,Rifle,Neutral,44,Casablanca,Elite,Medium
James Reed 140,Female,Active,High Table,Handler,Hitman,Knife,Calm,80,Tokyo,Master,Absolute
Joseph Bailey 141,Female,Active,Continental,Security,Bodyguard,Pistol,Neutral,84,Tokyo,Novice,High
Thomas Cooper 142,Female,Deceased,High Table,Handler,Manager,Unarmed,Fearful,94,London,Senior Agent,Low
Thomas Reed 143,Female,Inactive,Underworld,Security,Bodyguard,Pistol,Calm,83,Tokyo,Senior Agent,Absolute
Andrew Murphy 144,Male,Deceased,High Table,Crime Syndicate,Hitman,Unarmed,Focused,157,Prague,Senior Agent,Low
Daniel Cooper 145,Female,Inactive,Independent,Handler,Enforcer,Unarmed,Fearful,8,Paris,Novice,Medium
Leo Mitchell 146,Female,Active,Underworld,Handler,Operative,Sword,Focused,95,Casablanca,Novice,Medium
David Mitchell 147,Female,Missing,High Table,Handler,Hitman,Pistol,Neutral,47,Casablanca,Master,Absolute
Joseph Walker 148,Female,Missing,Ruska Roma,Handler,Enforcer,Rifle,Neutral,234,Casablanca,Agent,Low
James Reed 149,Female,Inactive,Ruska Roma,Assassin,Operative,Rifle,Neutral,88,Rome,Master,High
Henry Collins 150,Male,Missing,Underworld,Handler,Hitman,Knife,Angry,60,Casablanca,Novice,High
Joseph Hunter 151,Female,Deceased,Underworld,Handler,Enforcer,Pistol,Calm,79,Prague,Elite,Absolute
Thomas Hunter 152,Male,Inactive,High Table,Assassin,Manager,Sword,Neutral,132,Osaka,Agent,Medium
James Murphy 153,Male,Active,Underworld,Handler,Bodyguard,Knife,Angry,82,Berlin,Senior Agent,High
Daniel Foster 154,Male,Missing,Continental,Security,Enforcer,Shotgun,Calm,128,Paris,Master,Medium
Ethan Stone 155,Female,Active,Independent,Assassin,Hitman,Unarmed,Determined,67,Berlin,Master,Absolute
Andrew Carter 156,Female,Missing,High Table,Crime Syndicate,Tracker,Unarmed,Fearful,76,Casablanca,Novice,Low
Ethan Ward 157,Female,Deceased,Ruska Roma,Handler,Bodyguard,Shotgun,Angry,80,Osaka,Senior Agent,Absolute
James Mitchell 158,Male,Missing,Continental,Crime Syndicate,Hitman,Rifle,Fearful,63,Paris,Novice,Low
Henry Cooper 159,Female,Inactive,Continental,Security,Enforcer,Unarmed,Focused,48,Paris,Elite,Absolute
Samuel Brooks 160,Female,Active,Independent,Crime Syndicate,Enforcer,Sword,Angry,55,Marrakesh,Senior Agent,Low
Ryan Brooks 161,Female,Deceased,High Table,Contractor,Hitman,Pistol,Fearful,34,Tokyo,Senior Agent,Absolute
Leo Morgan 162,Female,Active,Underworld,Contractor,Tracker,Rifle,Determined,73,Rome,Elite,Absolute
Joseph Foster 163,Male,Inactive,Independent,Crime Syndicate,Bodyguard,Rifle,Determined,240,Osaka,Agent,Medium
Andrew Russell 164,Female,Active,Independent,Assassin,Tracker,Unarmed,Focused,205,Casablanca,Master,Absolute
James Stone 165,Male,Missing,Underworld,Security,Tracker,Sword,Determined,189,Tokyo,Master,High
David Russell 166,Female,Missing,Ruska Roma,Assassin,Bodyguard,Rifle,Neutral,28,Prague,Master,High
Alex Stone 167,Female,Missing,Underworld,Contractor,Tracker,Unarmed,Calm,149,Casablanca,Agent,Absolute
James Hayes 168,Male,Active,Continental,Assassin,Manager,Rifle,Fearful,38,Prague,Agent,Absolute
David Stone 169,Female,Active,Continental,Contractor,Tracker,Shotgun,Focused,169,Casablanca,Master,Absolute
Jack Collins 170,Female,Missing,Underworld,Security,Operative,Unarmed,Neutral,164,Tokyo,Master,Absolute
Noah Hayes 171,Female,Missing,Continental,Security,Bodyguard,Unarmed,Angry,176,Casablanca,Senior Agent,Absolute
Leo Griffin 172,Female,Missing,Independent,Contractor,Operative,Shotgun,Fearful,229,Prague,Senior Agent,Medium
Henry Morgan 173,Female,Active,High Table,Crime Syndicate,Operative,Rifle,Neutral,122,Berlin,Agent,High
Joseph Foster 174,Male,Active,Underworld,Contractor,Tracker,Knife,Calm,171,London,Agent,Medium
Ryan Walker 175,Female,Missing,Ruska Roma,Assassin,Operative,Knife,Calm,246,London,Agent,Absolute
Samuel Bailey 176,Male,Missing,High Table,Security,Operative,Pistol,Calm,166,Marrakesh,Agent,Low
Ethan Murphy 177,Male,Active,Ruska Roma,Crime Syndicate,Tracker,Unarmed,Focused,224,New York,Novice,High
Matthew Stone 178,Male,Missing,High Table,Crime Syndicate,Operative,Shotgun,Determined,126,Paris,Master,Absolute
William Parker 179,Male,Missing,Continental,Crime Syndicate,Operative,Rifle,Neutral,47,New York,Senior Agent,High
Matthew Parker 180,Male,Deceased,Ruska Roma,Contractor,Bodyguard,Pistol,Fearful,171,Rome,Agent,Medium
Samuel Turner 181,Male,Active,High Table,Crime Syndicate,Tracker,Sword,Focused,244,Osaka,Senior Agent,Low
William Mitchell 182,Male,Active,Independent,Crime Syndicate,Bodyguard,Knife,Fearful,175,London,Senior Agent,Low
Henry Mitchell 183,Male,Inactive,Continental,Crime Syndicate,Tracker,Sword,Neutral,155,Osaka,Elite,Absolute
Joseph Parker 184,Male,Active,Underworld,Crime Syndicate,Enforcer,Unarmed,Focused,19,Marrakesh,Novice,Low
Joseph Russell 185,Male,Inactive,Continental,Security,Enforcer,Sword,Calm,174,Berlin,Master,Absolute
Daniel Russell 186,Female,Active,Ruska Roma,Handler,Enforcer,Sword,Fearful,144,New York,Master,Absolute
Henry Carter 187,Female,Missing,Independent,Handler,Enforcer,Pistol,Calm,108,Osaka,Novice,Low
Daniel Bailey 188,Male,Missing,Ruska Roma,Handler,Tracker,Unarmed,Neutral,165,Prague,Senior Agent,Absolute
Benjamin Cooper 189,Female,Active,Underworld,Handler,Operative,Rifle,Calm,45,London,Elite,Medium
Lucas Carter 190,Male,Missing,Ruska Roma,Contractor,Manager,Shotgun,Fearful,210,Berlin,Agent,Absolute
Leo Bennett 191,Female,Inactive,Independent,Assassin,Operative,Sword,Determined,196,New York,Agent,Medium
Daniel Walker 192,Male,Deceased,Underworld,Assassin,Tracker,Unarmed,Calm,102,Casablanca,Agent,Medium
Ryan Bennett 193,Female,Inactive,Underworld,Security,Enforcer,Shotgun,Neutral,209,Osaka,Agent,High
James Russell 194,Male,Deceased,High Table,Security,Hitman,Shotgun,Determined,225,Paris,Elite,Absolute
Ryan Mitchell 195,Female,Missing,Ruska Roma,Crime Syndicate,Tracker,Rifle,Fearful,47,London,Elite,Medium
Lucas Brooks 196,Male,Deceased,Independent,Contractor,Manager,Sword,Determined,135,Paris,Elite,Medium
William Parker 197,Female,Active,Ruska Roma,Security,Hitman,Shotgun,Neutral,212,Berlin,Novice,High
Oliver Stone 198,Male,Active,Continental,Contractor,Operative,Unarmed,Determined,55,Casablanca,Agent,High
Henry Carter 199,Male,Inactive,Independent,Crime Syndicate,Tracker,Unarmed,Determined,180,Berlin,Elite,Medium
Joseph Turner 200,Female,Deceased,Ruska Roma,Contractor,Operative,Rifle,Focused,66,Osaka,Master,Absolute
Benjamin Walker 201,Female,Missing,Continental,Security,Bodyguard,Sword,Calm,144,Berlin,Agent,Low
William Griffin 202,Female,Missing,Continental,Handler,Bodyguard,Knife,Fearful,145,Berlin,Elite,High
William Bailey 203,Female,Deceased,Continental,Security,Tracker,Knife,Neutral,139,Casablanca,Agent,Low
David Morgan 204,Male,Active,Independent,Crime Syndicate,Tracker,Unarmed,Angry,17,Paris,Novice,Medium
David Ward 205,Female,Active,Underworld,Contractor,Manager,Unarmed,Fearful,4,New York,Master,Absolute
Alex Carter 206,Female,Missing,Independent,Contractor,Operative,Unarmed,Fearful,206,Paris,Novice,Low
David Bennett 207,Male,Inactive,Underworld,Contractor,Bodyguard,Rifle,Focused,203,Prague,Novice,High
Oliver Ward 208,Male,Inactive,High Table,Assassin,Operative,Unarmed,Calm,23,Prague,Elite,Absolute
Joseph Bailey 209,Male,Active,Continental,Assassin,Manager,Sword,Neutral,200,Osaka,Master,Low
David Morgan 210,Male,Inactive,Underworld,Crime Syndicate,Bodyguard,Pistol,Calm,175,Tokyo,Master,Low
Ethan Turner 211,Male,Inactive,Underworld,Handler,Operative,Sword,Calm,76,Paris,Master,Medium
Matthew Cooper 212,Female,Deceased,Continental,Assassin,Enforcer,Unarmed,Focused,13,Rome,Elite,Medium
Daniel Turner 213,Female,Missing,Independent,Security,Manager,Sword,Angry,91,London,Elite,Absolute
Ethan Hunter 214,Female,Active,Underworld,Security,Tracker,Unarmed,Calm,21,Tokyo,Agent,Absolute
James Cooper 215,Female,Missing,Independent,Assassin,Hitman,Rifle,Fearful,92,Tokyo,Novice,Medium
Daniel Collins 216,Female,Deceased,Underworld,Contractor,Enforcer,Sword,Calm,6,Rome,Senior Agent,Low
Andrew Stone 217,Female,Deceased,Independent,Security,Manager,Sword,Calm,185,London,Agent,Medium
Oliver Collins 218,Male,Missing,High Table,Security,Manager,Knife,Calm,42,Prague,Senior Agent,Absolute
Henry Bailey 219,Male,Missing,High Table,Handler,Operative,Unarmed,Fearful,152,Marrakesh,Agent,Absolute
Michael Bennett 220,Female,Active,Ruska Roma,Security,Enforcer,Sword,Focused,112,Osaka,Elite,Medium
Henry Turner 221,Male,Deceased,High Table,Handler,Manager,Rifle,Focused,188,Casablanca,Master,Medium
Jack Cooper 222,Female,Deceased,High Table,Assassin,Enforcer,Knife,Determined,139,Paris,Master,Low
Benjamin Parker 223,Female,Missing,Independent,Crime Syndicate,Operative,Sword,Angry,162,Tokyo,Agent,High
James Murphy 224,Female,Active,Ruska Roma,Contractor,Manager,Shotgun,Fearful,136,London,Elite,Low
Leo Griffin 225,Male,Active,Continental,Security,Tracker,Unarmed,Determined,11,Marrakesh,Elite,High
Thomas Walker 226,Male,Active,High Table,Handler,Enforcer,Unarmed,Determined,142,Marrakesh,Master,Medium
Benjamin Mitchell 227,Female,Deceased,Underworld,Contractor,Tracker,Rifle,Calm,123,Rome,Senior Agent,Absolute
Daniel Walker 228,Male,Missing,High Table,Security,Manager,Knife,Determined,123,Osaka,Elite,Low
Benjamin Ward 229,Female,Active,High Table,Assassin,Operative,Pistol,Calm,217,Osaka,Novice,Medium
Lucas Russell 230,Male,Inactive,High Table,Contractor,Manager,Sword,Angry,204,Prague,Agent,Medium
Thomas Cooper 231,Male,Inactive,Ruska Roma,Contractor,Manager,Sword,Calm,180,Berlin,Agent,High
Daniel Hunter 232,Male,Inactive,High Table,Security,Tracker,Sword,Calm,67,Casablanca,Master,High
Andrew Cooper 233,Female,Active,High Table,Security,Manager,Shotgun,Angry,208,Tokyo,Master,Low
James Turner 234,Male,Inactive,High Table,Assassin,Tracker,Rifle,Neutral,36,London,Elite,Absolute
Andrew Bennett 235,Female,Deceased,Continental,Crime Syndicate,Operative,Shotgun,Neutral,235,Paris,Master,Medium
Samuel Brooks 236,Male,Inactive,High Table,Crime Syndicate,Enforcer,Pistol,Focused,243,New York,Elite,Medium
Noah Cooper 237,Female,Deceased,Ruska Roma,Crime Syndicate,Operative,Sword,Fearful,42,Rome,Master,Low
Lucas Brooks 238,Male,Missing,Continental,Contractor,Bodyguard,Knife,Fearful,144,Casablanca,Master,Low
Matthew Walker 239,Female,Missing,Underworld,Assassin,Operative,Sword,Determined,55,Prague,Novice,Medium
Henry Morgan 240,Female,Missing,High Table,Assassin,Manager,Pistol,Angry,53,Marrakesh,Senior Agent,Absolute
Ethan Stone 241,Male,Inactive,Continental,Assassin,Enforcer,Rifle,Determined,71,Marrakesh,Master,Medium
Jack Brooks 242,Female,Missing,Underworld,Assassin,Tracker,Sword,Calm,70,Paris,Agent,Medium
James Turner 243,Male,Deceased,Ruska Roma,Handler,Enforcer,Unarmed,Focused,160,Prague,Elite,Absolute
Daniel Reed 244,Female,Missing,High Table,Crime Syndicate,Manager,Rifle,Determined,0,Rome,Elite,High
Daniel Griffin 245,Female,Inactive,Ruska Roma,Handler,Manager,Rifle,Focused,212,Tokyo,Senior Agent,Medium
Matthew Bailey 246,Female,Active,Independent,Assassin,Operative,Sword,Calm,31,Paris,Elite,Absolute
